ISO-3,Code,PDB&DFI Name,Name in Original Language,Acronym,Establishment Year,Official Mandate,Country,Region,Levels of Ownership,Size Category,Fiancial Year,Total Assets(Million USD),Total Equity(Million USD),Total Liabilities(Million USD)
MB,MB19441,The World Bank,The World Bank,World Bank,1944,FLEX,Multi,World,MULTI,Mega,2023,"560,123",TBR,TBR
MB,MB19881,Multilateral Investment Guarantee Agency - World Bank Group,Multilateral Investment Guarantee Agency - World Bank Group,MIGA,1988,FLEX,Multi,World,MULTI,Small,2023,"3,269",TBR,TBR
MB,MB19561,International Finance Corporation-World Bank Group,International Finance Corporation,IFC,1956,INTL,Multi,World,MULTI,Large,2023,"110,547",TBR,TBR
MB,MB19591,Inter-American Development Bank,Inter-American Development Bank,IADB,1959,FLEX,Multi,America,MULTI,Large,2023,"152,019",TBR,TBR
MB,MB19702,Development Bank of Latin America,Banco de Desarrollo de América Latina,CAF,1970,FLEX,Multi,South America,MULTI,Medium,2023,"53,814",TBR,TBR
MB,MB20141,New Development Bank,New Development Bank,NDB BRICS,2014,FLEX,Multi,World,MULTI,Medium,2023,"28,840",TBR,TBR
MB,MB19602,Central American Bank for Economic Integration,Banco Centroamericano de Integración Económica,CABEI,1960,FLEX,Multi,Central America,MULTI,Small,2023,"17,186",TBR,TBR
MB,MB19771,International Fund for Agricultural Development,International Fund for Agricultural Development,IFAD,1977,AGRI,Multi,World,MULTI,Small,2023,"11,724",TBR,TBR
MB,MB19861,IDB Invest,IDB Invest,IDBInvest,1986,INTL,Multi,America,MULTI,Small,2023,"11,328",TBR,TBR
MB,MB19791,Latin American Bank for Foreign Trade,Banco Latinoamericano de Comercio Exterior,BLADEX,1979,EXIM,Multi,South America,MULTI,Small,2023,"10,744",TBR,TBR
MB,MB19741,Financial Fund for the Development of the Plata Basin,Fondo Financiero para el Desarrollo de la Cuenca del Plata,FONPLATA,1974,INTL,Multi,South America,MULTI,Small,2023,"2,640",TBR,TBR
MB,MB19691,Caribbean Development Bank,Caribbean Development Bank,CDB,1969,FLEX,Multi,Caribbean,MULTI,Small,2023,"2,032",TBR,TBR
MB,MB20171,Eastern Caribbean Partial Credit Guarantee Corporation,Eastern Caribbean Partial Credit Guarantee Corporation,ECPCGC,2017,MSME,Multi,Caribbean,MULTI,Micro,2023,NI,TBR,TBR
MB,MB20081,Bank of Alba,Banco del Alba,BANALBA,2008,FLEX,Multi,Latin America and the Caribbean,MULTI,NI,2023,NI,TBR,TBR
PRY,PY19611,National Development Bank,Banco Nacional de Fomento,BNF,1961,FLEX,Paraguay,LAC,NATIONAL,Small,2023,"3,095",452,"2,643"
PRY,PY20051,Development Finance Agency,Agencia Financiera de Desarrollo,AFD,2005,FLEX,Paraguay,LAC,NATIONAL,Micro,2023,"1,307",263,"1,044"
PRY,PY19691,Livestock Fund,Fondo Ganadero,FG,1969,AGRI,Paraguay,LAC,NATIONAL,Micro,2023,NI,TBR,TBR
PRY,PY19511,Agricultural Enabling Credit,Crédito Agrícola de Habilitación,CAH,1951,AGRI,Paraguay,LAC,NATIONAL,Small,2023,NI,TBR,TBR
PER,PE19991,Mivivienda Fund,Fondo Mivivienda,FMV,1999,HOUS,Peru,LAC,NATIONAL,Micro,2023,"3,812",943,"2,870"
PER,PE19711,The Development Bank of Peru,El Banco De Desarrollo Del Perú,COFIDE,1971,FLEX,Peru,LAC,NATIONAL,Small,2023,"2,914",594,"2,320"
PER,PE20011,Agricultural Bank,Banco Agropecuario,AGROBANCO,2001,AGRI,Peru,LAC,NATIONAL,Small,2023,142,116,26
